Product	kcal	proteins	carbohydrates	fats
Acerola, Barbados Cherry (fresh)	32	0.4	0.3	7.7
Acorns	387	6.0	41.0	24.0
Agave (syrup)	310	0.0	76.0	0.5
Almond	609	18.6	13.0	53.7
Almond milk	51	18.6	13.0	53.7
Almond oil	816	0.0	0.0	90.7
Almond paste (sugar free)	458	9.0	43.0	27.7
Amaranth seeds (unprepared)	370	14.0	57.0	6.0
Apple Juice (unsweetened)	49	0.1	12.2	0.1
Apple cider (brut)	33	0.0	0.0	26.1
Apple juice	46	0.1	11.0	0.1
Apple juice (sugar free)	47	0.11	11.3	0.14
Applesauce (unsweetened)	42	0.2	11.3	0.1
Apricot	48	1.4	11.1	0.4
Artichoke	28	1.2	6.0	0.1
Asparagus	20	2.2	3.9	0.1
Avocado	160	2.0	9.0	15.0
Azuki Beans	329	19.9	62.9	0.5
Balsamic vinegar	237	1.5	55.0	0.0
Bamboo sprouts	27	2.6	5.0	0.3
Banana: Glycemic Index (GI), Glycemic Load (GL) and Nutrition Facts	88	1.5	21.0	0.5
Banana pie	257	4.7	36.4	10.3
Bananas (Dried)	346	3.9	88.3	1.8
Barley flour	284	10.0	56.1	1.6
Barley groats	324	10.0	63.3	1.3
Basil	22	3.2	2.7	0.6
Basmati Rice: Glycemic Index (GI), Glycemic Load (GL) and Nutrition Facts	340	9.5	75.0	0.2
Beans, fava (raw)	88	8.0	18.0	0.7
Beef (steak, etc.)	108	18.0	0.0	4.0
Beef brains	124	11.7	0.0	9.5
Beetroot	19	1.8	3.7	0.2
Beetroot (fresh)	43	1.5	8.8	0.1
Black currant (fresh berry)	44	1.0	7.3	0.4
Black olives	361	2.2	32.0	8.7
